Tag,Time,TimeEpoch,Name,r,l,v,Î±,rx,ry,vx,vy
PeriapsisTimeLast,1999-10-06T00:00:00,-7.5168e6,Mercury,69.7988e9,4.44882,38.871e3,6.00807,-18.1842e9,-67.3884e9,37.4092e3,-10.5595e3
PeriapsisTime,1999-11-19T00:00:00,-3.7152e6,Mercury,46.0415e9,7.534,58.934e3,9.12202,14.4823e9,43.7044e9,-56.2535e3,17.5716e3
ApoapsisTimeLast,2000-01-02T00:00:00,0.,Mercury,69.8001e9,4.4503,38.8702e3,6.00994,-18.0848e9,-67.4166e9,37.4281e3,-10.4896e3
ApoapsisTime,2000-02-15T00:00:00,3.8016e6,Mercury,46.0386e9,7.53743,58.9368e3,9.12486,14.3315e9,43.7511e9,-56.306e3,17.4123e3
PeriapsisTimeLast,1999-08-10T00:00:00,-12.4416e6,Venus,108.942e9,5.41392,34.7843e3,6.98456,70.3105e9,-83.2159e9,26.5736e3,22.4453e3
PeriapsisTime,1999-12-01T00:00:00,-2.6784e6,Venus,107.477e9,8.56969,35.2587e3,10.1405,-70.5214e9,81.1052e9,-26.6057e3,-23.1367e3
ApoapsisTimeLast,2000-03-22T00:00:00,6.912e6,Venus,108.94e9,5.41888,34.7843e3,6.98955,70.7204e9,-82.8645e9,26.4613e3,22.5776e3
ApoapsisTime,2000-07-13T00:00:00,16.6752e6,Venus,107.479e9,5.43761,35.2587e3,7.00841,71.2904e9,-80.4321e9,26.3859e3,23.3871e3
PeriapsisTimeLast,1999-01-03T00:00:00,-31.3632e6,Earth,147.097e9,8.06795,30.2865e3,9.63894,-31.2339e9,143.743e9,-29.5946e3,-6.43675e3
PeriapsisTime,1999-07-07T00:00:00,-15.3792e6,Earth,152.099e9,4.97157,29.2912e3,6.54293,38.9806e9,-147.019e9,28.3087e3,7.52287e3
ApoapsisTimeLast,2000-01-03T00:00:00,86.4e3,Earth,147.103e9,8.07384,30.2865e3,9.64473,-32.0814e9,143.562e9,-29.5568e3,-6.6081e3
ApoapsisTime,2000-07-04T00:00:00,15.8976e6,Earth,152.102e9,4.92294,29.2911e3,6.49347,31.7892e9,-148.743e9,28.6459e3,6.11432e3
PeriapsisTimeLast,1998-12-17T00:00:00,-32.832e6,Mars,249.215e9,9.00552,21.9714e3,10.5762,-227.63e9,101.452e9,-8.94652e3,-20.0674e3
PeriapsisTime,1999-11-25T00:00:00,-3.1968e6,Mars,206.67e9,12.1406,26.4987e3,13.712,188.218e9,-85.3588e9,10.9288e3,24.14e3
ApoapsisTimeLast,2000-11-02T00:00:00,26.352e6,Mars,249.228e9,8.99853,21.9714e3,10.5685,-226.928e9,103.046e9,-9.10097e3,-19.9979e3
ApoapsisTime,2001-10-12T00:00:00,56.0736e6,Mars,206.657e9,12.1434,26.4988e3,13.7146,188.442e9,-84.8317e9,10.8677e3,24.1677e3
PeriapsisTimeLast,1993-05-31T00:00:00,-207.878e6,Jupiter,815.941e9,3.39811,12.4408e3,4.96885,-789.243e9,-207.014e9,3.15576e3,-12.0339e3
PeriapsisTime,1999-05-07T00:00:00,-20.6496e6,Jupiter,740.587e9,3.39941,13.7086e3,4.97023,-716.109e9,-188.831e9,3.49556e3,-13.2555e3
ApoapsisTimeLast,2005-04-10T00:00:00,166.32e6,Jupiter,816.283e9,3.39787,12.4405e3,4.96861,-789.623e9,-206.914e9,3.1527e3,-12.0344e3
ApoapsisTime,2011-03-16T00:00:00,353.462e6,Jupiter,740.268e9,6.53957,13.7089e3,8.11042,716.07e9,187.724e9,-3.4771e3,13.2606e3
PeriapsisTimeLast,1974-01-17T00:00:00,-819.072e6,Saturn,1.34867e12,7.89603,10.1791e3,9.46685,-56.6963e9,1.34748e12,-10.1701e3,-428.122
PeriapsisTime,1988-10-10T00:00:00,-354.24e6,Saturn,1.50261e12,4.75271,9.10475e3,6.32338,60.5674e9,-1.50139e12,9.09739e3,365.888
ApoapsisTimeLast,2003-07-11T00:00:00,111.11e6,Saturn,1.35101e12,4.75567,10.1781e3,6.32651,58.4497e9,-1.34974e12,10.1685e3,440.827
ApoapsisTime,2018-04-05T00:00:00,576.115e6,Saturn,1.5058e12,4.75574,9.10568e3,6.32659,65.254e9,-1.50438e12,9.09711e3,395.067
PeriapsisTimeLast,1925-01-23T00:00:00,-2.36485e9,Uranus,3.0065e12,6.12607,6.48134e3,7.69689,2.96947e12,-470.436e9,1.01397e3,6.40153e3
PeriapsisTime,1967-01-27T00:00:00,-1.03913e9,Uranus,2.73555e12,9.26696,7.11203e3,10.8378,-2.70155e12,429.94e9,-1.11775e3,-7.02365e3
ApoapsisTimeLast,2009-02-05T00:00:00,287.021e6,Uranus,3.00675e12,6.12581,6.48148e3,7.69662,2.96959e12,-471.249e9,1.01574e3,6.4014e3
ApoapsisTime,2051-02-10T00:00:00,1.61283e9,Uranus,2.73519e12,9.26685,7.11187e3,10.8377,-2.70115e12,430.169e9,-1.11843e3,-7.02338e3
PeriapsisTimeLast,1882-09-20T00:00:00,-3.70103e9,Neptune,4.46117e12,7.06804,5.47343e3,8.63883,3.15625e12,3.1528e12,-3.86818e3,3.87241e3
PeriapsisTime,1965-02-17T00:00:00,-1.10039e9,Neptune,4.53624e12,3.92647,5.37567e3,5.49726,-3.20928e12,-3.20593e12,3.79919e3,-3.80316e3
ApoapsisTimeLast,2047-07-16T00:00:00,1.50008e9,Neptune,4.4603e12,3.92592,5.47349e3,5.49671,-3.1573e12,-3.15052e12,3.86616e3,-3.87452e3
ApoapsisTime,2129-12-10T00:00:00,4.10046e9,Neptune,4.53768e12,3.92506,5.37561e3,5.49584,-3.21482e12,-3.20241e12,3.79373e3,-3.80853e3