Apoapsis,AverageOrbitDistance,AverageOrbitVelocity,Eccentricity,Glyph,HillRadius,Mass,Name,OrbitalAngularMomentum,OrbitPeriod,Periapsis,PeriapsisArgument,PeriapsisLongitude,PeriapsisTimeLast,Radius,RocheLimit,SemimajorAxis,SemiminorAxis,SphereOfInfluenceRadius,CentralMass,ReducedMass,SpecificOrbitalAngularMomentum,OrbitCenter,Color,PeriapsisTimeLastJ2000
69.817079e9,59.133491e9,47.4e3,205.63069e-3,☿,175.2976e6,330.104e21,Mercury,895.6e36,7.600544e6,46.001272e9,508.323e-3,1.351870,2017-06-19T00:00:00,2.4397e6,1.08e9,57.909176e9,56.671637e9,112.e6,1.988435e30,330.104e21,2.71296e15,Sun,0x999393,551.059e6
108.94185e9,108.21141e9,35.0e3,6.77323e-3,♀,1.004301e9,4.86732e24,Venus,18.44e39,19.414149e6,107.47600e9,957.353e-3,2.2956836,2017-02-20T00:00:00,6.0519e6,1.10e9,108.20893e9,108.20644e9,616.e6,1.988435e30,4.86731e24,3.78943e15,Sun,0xc0bdb4,540.778e6
152.097701e9,149.618773e9,29.8e3,16.710220e-3,⊕,1.4715471e9,5.9721986e24,Earth,26.61e39,31.558149e6,147.098074e9,1.9933027,1.7967674,2017-01-04T00:00:00,6.371008e6,1.08e9,149.597887e9,149.576999e9,925.e6,1.988435e30,5.97218e24,4.45507e15,Sun,0x60647b,536.717e6
249.228730e9,228.931109e9,24.1e3,93.412330e-3,♂,982.778e6,641.693e21,Mars,3.514e39,59.355036e6,206.644545e9,4.999710,5.8650191,2016-10-29T00:00:00,3.3895e6,1.21e9,227.936637e9,226.939986e9,577.e6,1.988435e30,641.693e21,5.4759e15,Sun,0x976132,530.928e6
816.08146e9,779.323489e9,13.0e3,48.392660e-3,♃,50.5706e9,1.89813e27,Jupiter,19.27e42,374.35566e6,740.74260e9,-1.4975326,257.5033e-3,2011-03-16T00:00:00,69.911e6,1.73e9,778.412027e9,777.500031e9,48.2e9,1.988435e30,1.89632e27,10.1616e15,Sun,0xc1b2aa,353.462e6
1.5039834e12,1.42881720e12,9.64e3,54.1506e-3,♄,61.6333e9,568.319e24,Saturn,7.809e42,929.29236e6,1.3494674e12,-371.460e-3,1.613242,2003-07-11T00:00:00,58.232e6,2.16e9,1.42672541e12,1.42463209e12,54.5e9,1.988435e30,568.157e24,13.7438e15,Sun,0xc4b290,111.11e6
3.00638940e12,2.874165879e12,6.80e3,47.167710e-3,♅,66.7870e9,86.8103e24,Uranus,1.693e42,2.6513700e9,2.73555503e12,1.688333,2.9838889,1967-01-27T00:00:00,25.362e6,1.76e9,2.870972220e12,2.867776782e12,51.8e9,1.988435e30,86.8065e24,19.4985e15,Sun,0x92c0d3,-1.03913e9
4.5368743e12,4.498418710e12,5.43e3,8.58587e-3,♆,115.0453e9,102.410e24,Neptune,2.502e42,5.2004186e9,4.4596315e12,-1.514079,784.8981e-3,1882-09-20T00:00:00,24.622e6,1.61e9,4.498252910e12,4.498087108e12,86.7e9,1.988435e30,102.405e24,24.4332e15,Sun,0x8ebfe1,-3.70103e9
7.3759279e12,6.08919413e12,4.67e3,250.e-3,♇,5.766e9,13.09e21,Pluto,354.9e36,7.8237807e9,4.42e12,1.97,3.89,1989-09-04T00:00:00,1.185e6,1.49e9,5.906376272e12,5.71e12,3.15e9,1.988435e30,13.09e21,27.1161e15,Sun,0x9f7a5f,-325.814e6
405.7e6,385.0e6,1.02e3,55.4e-3,,58.12e6,73.459e21,Moon,28.71e33,2.3606e6,363.1e6,5.5528,7.7358,2000-01-01T12:00:00,1.7375e6,18.4e6,384.4e6,383.8e6,62.4174e6,5.9721986e24,72.5664e21,395.636e9,Earth,GrayLevel[0.85],0
9.52e6,9.381e6,2.14e3,15.1e-3,,16.38e3,10.72e15,Phobos,214.9e24,27.6e3,9.24e6,2.62230,5.50089,2000-01-01T12:00:00,11.1e3,10.6e6,9.380e6,9.379e6,6.85467e3,641.693e21,10.7249e15,20.0406e9,Mars,GrayLevel[0.85],0
23.465e6,23.460e6,1.35e3,200.e-6,,21.4e3,1.5e15,Deimos,46.54e24,109.0e3,23.455e6,5.07011,10.997,2000-01-01T12:00:00,6.2e3,11.5e6,23.460e6,23.460e6,7.73901e3,641.693e21,1.46834e15,31.6974e9,Mars,GrayLevel[0.85],0
128.e6,128.e6,31.5e3,1.2e-3,,40.e3,100.e15,Metis,482.7e27,25.5e3,128.e6,5.18672,7.75082,2000-01-01T12:00:00,21.5e3,130.e6,128.e6,128.e6,10.0442e3,1.89813e27,119.865e15,4.02683e12,Jupiter,GrayLevel[0.85],0
129.e6,129.e6,31.3e3,1.8e-3,,14.e3,7.e15,Adrastea,30.28e27,25.7e3,129.e6,5.72550,9.71145,2000-01-01T12:00:00,8.2e3,130.e6,129.e6,129.e6,3.33922e3,1.89813e27,7.49153e15,4.04253e12,Jupiter,GrayLevel[0.85],0
182.0e6,181.4e6,26.4e3,3.2e-3,,129.0e3,2.07e18,Amalthea,9.912e30,43.0e3,180.8e6,2.72050,4.62196,2000-01-01T12:00:00,83.45e3,198.e6,181.4e6,181.4e6,44.4689e3,1.89813e27,2.06766e18,4.79375e12,Jupiter,GrayLevel[0.85],0
225.8e6,221.9e6,23.9e3,17.6e-3,,140.e3,1.5e18,Thebe,7.943e30,58.3e3,218.0e6,4.08877,8.20240,2000-01-01T12:00:00,49.3e3,130.e6,221.9e6,221.9e6,47.8217e3,1.89813e27,1.49831e18,5.30115e12,Jupiter,GrayLevel[0.85],0
423.5e6,421.8e6,17.3e3,4.1e-3,,10.51e6,89.298e21,Io,652.8e33,152.8e3,420.1e6,1.4683,2.2359,2000-01-01T12:00:00,1.8216e6,123.e6,421.8e6,421.8e6,7.39044e6,1.89813e27,89.2936e21,7.31019e12,Jupiter,GrayLevel[0.85],0
677.e6,671.1e6,13.7e3,9.4e-3,,13.53e6,47.987e21,Europa,442.4e33,306.8e3,665.e6,1.5528,5.3769,2000-01-01T12:00:00,1.5608e6,130.e6,671.1e6,671.1e6,9.17199e6,1.89813e27,47.9856e21,9.22028e12,Jupiter,GrayLevel[0.85],0
1.0718e9,1.0704e9,10.9e3,1.3e-3,,31.676e6,148.15e21,Ganymede,1.725e36,618.2e3,1.0690e9,3.35831,4.4675,2000-01-01T12:00:00,2.6312e6,150.e6,1.0704e9,1.0704e9,22.9644e6,1.89813e27,148.139e21,11.6457e12,Jupiter,GrayLevel[0.85],0
1.897e9,1.8828e9,8.20e3,7.4e-3,,49.77e6,107.57e21,Callisto,1.661e36,1.442e6,1.869e9,918.79e-3,6.1347,2000-01-01T12:00:00,2.4103e6,153.e6,1.8827e9,1.8826e9,35.5371e6,1.89813e27,107.562e21,15.4441e12,Jupiter,GrayLevel[0.85],0
12.992e9,11.314e9,3.35e3,163.6e-3,,1.16e6,11.e15,Leda,405.8e27,20.815e6,9.338e9,4.75339,8.54314,2000-01-01T12:00:00,10.e3,136.e6,11.165e9,11.015e9,336.245e3,1.89813e27,10.9376e15,37.102e12,Jupiter,GrayLevel[0.85],0
13.321e9,11.612e9,3.30e3,162.3e-3,,10.2e6,6.7e18,Himalia,253.5e30,21.648e6,9.601e9,5.79441,6.7935,2000-01-01T12:00:00,85.e3,136.e6,11.461e9,11.309e9,4.50791e6,1.89813e27,6.74238e18,37.5987e12,Jupiter,GrayLevel[0.85],0
13.034e9,11.791e9,3.28e3,112.4e-3,,2.32e6,63.e15,Lysithea,2.409e30,22.395e6,10.400e9,863.69e-3,960.2e-3,2000-01-01T12:00:00,18.e3,136.e6,11.717e9,11.643e9,710.532e3,1.89813e27,62.9289e15,38.283e12,Jupiter,GrayLevel[0.85],0
14.293e9,12.018e9,3.25e3,217.4e-3,,4.9e6,870.e15,Elara,32.71e30,22.433e6,9.189e9,2.50614,4.41505,2000-01-01T12:00:00,43.e3,136.e6,11.741e9,11.460e9,2.0349e6,1.89813e27,869.018e15,37.6442e12,Jupiter,GrayLevel[0.85],0
26.457e9,21.907e9,2.40e3,243.5e-3,,2.80e6,30.e15,Ananke,1.509e30,54.412e6,16.095e9,1.75613,1.8890,2000-01-01T12:00:00,14.e3,136.e6,21.276e9,20.636e9,958.892e3,1.89813e27,29.9661e15,50.3537e12,Jupiter,GrayLevel[0.85],0
29.332e9,24.155e9,2.29e3,253.3e-3,,5.0e6,130.e15,Carme,6.945e30,63.432e6,17.476e9,492.17e-3,2.47727,2000-01-01T12:00:00,23.e3,136.e6,23.404e9,22.641e9,1.90788e6,1.89813e27,131.851e15,52.675e12,Jupiter,GrayLevel[0.85],0
33.29e9,25.600e9,2.22e3,409.0e-3,,5.2e6,300.e15,Pasiphae,14.96e30,64.250e6,13.96e9,2.97491,8.43762,2000-01-01T12:00:00,30.e3,136.e6,23.624e9,21.558e9,2.67444e6,1.89813e27,299.661e15,49.9212e12,Jupiter,GrayLevel[0.85],0
29.912e9,24.684e9,2.26e3,249.5e-3,,4.2e6,75.e15,Sinope,3.995e30,65.569e6,17.966e9,6.04572,11.3355,2000-01-01T12:00:00,19.e3,136.e6,23.939e9,23.182e9,1.55655e6,1.89813e27,74.9153e15,53.328e12,Jupiter,GrayLevel[0.85],0
133.58e6,133.58e6,16.9e3,0.,,19.0491e3,4.9e15,Pan,11.13e27,49.7e3,133.58e6,2.43156,3.13941,2000-01-01T12:00:00,12.8e3,152.e6,133.580e6,133.58e6,4.7436e3,568.319e24,4.94441e15,2.25093e12,Saturn,GrayLevel[0.85],0
137.84e6,137.670e6,16.6e3,1.2e-3,,14.7e3,2.1e15,Atlas,4.793e27,52.0e3,137.50e6,5.78613,5.795,2000-01-01T12:00:00,10.e3,160.e6,137.670e6,137.670e6,3.46938e3,568.319e24,2.09763e15,2.28513e12,Saturn,GrayLevel[0.85],0
139.69e6,139.380e6,16.5e3,2.2e-3,,66.53e3,186.7e15,Prometheus,429.2e27,53.0e3,139.07e6,2.86913,7.39833,2000-01-01T12:00:00,46.8e3,165.e6,139.380e6,139.380e6,21.1528e3,568.319e24,186.689e15,2.29928e12,Saturn,GrayLevel[0.85],0
142.32e6,141.721e6,16.4e3,4.2e-3,,62.6e3,149.e15,Pandora,345.6e27,54.3e3,141.12e6,1.4567,7.1676,2000-01-01T12:00:00,40.6e3,155.e6,141.720e6,141.719e6,19.6572e3,568.319e24,149.082e15,2.31848e12,Saturn,GrayLevel[0.85],0
152.9e6,151.417e6,15.8e3,9.8e-3,,101.3e3,526.e15,Epimetheus,1.260e30,60.0e3,149.9e6,5.45642,6.9442,2000-01-01T12:00:00,58.3e3,146.e6,151.410e6,151.403e6,34.7727e3,568.319e24,525.906e15,2.39634e12,Saturn,GrayLevel[0.85],0
152.5e6,151.464e6,15.8e3,6.8e-3,,155.9e3,1.897e18,Janus,4.546e30,60.0e3,150.4e6,4.21982,5.0384,2000-01-01T12:00:00,90.4e3,148.e6,151.460e6,151.456e6,58.1076e3,568.319e24,1.89686e18,2.39679e12,Saturn,GrayLevel[0.85],0
189.18e6,185.576e6,14.3e3,19.6e-3,,511.5e3,37.91e18,Mimas,100.5e30,81.4e3,181.90e6,250.49e-3,2.92350,2000-01-01T12:00:00,198.8e3,120.e6,185.540e6,185.504e6,235.856e3,568.319e24,37.9072e18,2.65233e12,Saturn,GrayLevel[0.85],0
239.2e6,238.043e6,12.6e3,4.7e-3,,944.5e3,108.0e18,Enceladus,324.6e30,118.4e3,236.9e6,3.69875,5.3255,2000-01-01T12:00:00,252.3e3,107.e6,238.040e6,238.037e6,460.029e3,568.319e24,108.028e18,3.00478e12,Saturn,GrayLevel[0.85],0
294.70e6,294.670e6,11.3e3,0.e-4,,2.1002e6,617.5e18,Tethys,2.064e33,163.1e3,294.64e6,4.58751,10.3625,2000-01-01T12:00:00,536.3e3,127.e6,294.670e6,294.670e6,1.14366e6,568.319e24,617.452e18,3.34318e12,Saturn,GrayLevel[0.85],0
294.9e6,294.710e6,11.3e3,500.e-6,,38.e3,3.6e15,Calypso,12.02e27,163.1e3,294.6e6,4.09782,4.53986,2000-01-01T12:00:00,9.5e3,125.e6,294.710e6,294.710e6,9.21384e3,568.319e24,3.59594e15,3.34341e12,Saturn,GrayLevel[0.85],0
294.77e6,294.710e6,11.3e3,200.e-6,,48.e3,7.2e15,Telesto,24.05e27,163.1e3,294.65e6,5.96545,11.2059,2000-01-01T12:00:00,12.e3,125.e6,294.710e6,294.710e6,12.1577e3,568.319e24,7.19187e15,3.34341e12,Saturn,GrayLevel[0.85],0
378.25e6,377.421e6,10.0e3,2.2e-3,,3.2496e6,1.0955e21,Dione,4.145e33,236.5e3,376.59e6,2.94646,5.89448,2000-01-01T12:00:00,562.5e3,110.e6,377.420e6,377.419e6,1.8424e6,568.319e24,1.09546e21,3.78359e12,Saturn,GrayLevel[0.85],0
380.1e6,377.430e6,10.0e3,7.1e-3,,92.e3,25.e15,Helene,96.37e27,236.5e3,374.7e6,5.09734,5.7962,2000-01-01T12:00:00,16.e3,110.e6,377.420e6,377.410e6,25.8206e3,568.319e24,25.4712e15,3.7835e12,Saturn,GrayLevel[0.85],0
527.60e6,527.070e6,8.48e3,1.0e-3,,5.825e6,2.3084e21,Rhea,10.32e33,390.4e3,526.54e6,4.47867,9.91591,2000-01-01T12:00:00,764.5e3,117.e6,527.070e6,527.070e6,3.4667e6,568.319e24,2.30843e21,4.47123e12,Saturn,GrayLevel[0.85],0
1.2571e9,1.22238e9,5.57e3,28.8e-3,,50.90e6,134.52e21,Titan,915.4e33,1.378e6,1.1867e9,3.24057,3.66821,2000-01-01T12:00:00,2.5755e6,102.e6,1.221870e9,1.22136e9,40.8566e6,568.319e24,134.489e21,6.80655e12,Saturn,GrayLevel[0.85],0
1.5420e9,1.50144e9,5.03e3,27.4e-3,,2.16e6,5.5e18,Hyperion,41.81e30,1.839e6,1.4598e9,5.65806,10.2661,2000-01-01T12:00:00,133.0e3,151.e6,1.500880e9,1.50032e9,884.276e3,568.319e24,5.54374e18,7.54226e12,Saturn,GrayLevel[0.85],0
3.662e9,3.56227e9,3.26e3,28.3e-3,,35.27e6,1.8055e21,Iapetus,20.97e33,6.854e6,3.460e9,4.81573,6.1392,2000-01-01T12:00:00,734.5e3,122.e6,3.560840e9,3.55941e9,21.228e6,568.319e24,1.80545e21,11.617e12,Saturn,GrayLevel[0.85],0
14.764e9,11.712e9,1.80e3,328.8e-3,,930.e3,3.3e15,Kiviuq,63.91e27,38.813e6,7.458e9,1.4363,7.7162,2000-01-01T12:00:00,8.e3,95.e6,11.111e9,10.493e9,335.493e3,568.319e24,3.29628e15,19.3876e12,Saturn,GrayLevel[0.85],0
15.065e9,13.1208e9,1.70e3,163.5e-3,,18.35e6,8.287e18,Phoebe,181.2e30,47.547e6,10.831e9,6.03154,10.2477,2000-01-01T12:00:00,106.6e3,106.e6,12.947780e9,12.7735e9,8.95938e6,568.319e24,8.28714e18,21.8628e12,Saturn,GrayLevel[0.85],0
20.7e9,16.2e9,1.53e3,363.1e-3,,1.64e6,8.2e15,Paaliaq,184.4e27,59.351e6,9.7e9,4.16898,9.87593,2000-01-01T12:00:00,11.0e3,95.e6,15.2e9,14.2e9,662.14e3,568.319e24,8.24069e15,22.3724e12,Saturn,GrayLevel[0.85],0
23.90e9,18.023e9,1.44e3,477.0e-3,,1.95e6,21.e15,Albiorix,456.7e27,67.691e6,8.463e9,967.e-3,2.753,2000-01-01T12:00:00,16.e3,95.e6,16.182e9,14.222e9,1.02434e6,568.319e24,20.9763e15,21.7745e12,Saturn,GrayLevel[0.85],0
22.722e9,18.300e9,1.44e3,296.1e-3,,3.5e6,39.e15,Siarnaq,959.5e27,77.376e6,12.340e9,1.1405,1.9687,2000-01-01T12:00:00,20.e3,95.e6,17.531e9,16.745e9,1.42153e6,568.319e24,38.956e15,24.6303e12,Saturn,GrayLevel[0.85],0
27.52e9,20.513e9,1.34e3,530.5e-3,,980.e3,2.7e15,Tarvos,59.71e27,80.026e6,8.44e9,4.77501,6.57267,2000-01-01T12:00:00,7.5e3,95.e6,17.983e9,15.244e9,501.109e3,568.319e24,2.69695e15,22.139e12,Saturn,GrayLevel[0.85],0
30.76e9,24.33e9,1.25e3,335.0e-3,,2.18e6,4.9e15,Ymir,137.7e27,113.634e6,15.32e9,395.67e-3,3.78410,2000-01-01T12:00:00,9.e3,95.e6,23.04e9,21.71e9,818.181e3,568.319e24,4.94441e15,27.8538e12,Saturn,GrayLevel[0.85],0
49.8e6,49.8e6,10.8e3,300.e-6,,28.e3,45.e15,Cordelia,24.14e27,28.9e3,49.8e6,2.38808,3.05783,2000-01-01T12:00:00,20.1e3,61.e6,49.8e6,49.8e6,9.06666e3,86.8103e24,44.9492e15,537.151e9,Uranus,GrayLevel[0.85],0
54.3e6,53.8e6,10.4e3,9.9e-3,,32.e3,54.e15,Ophelia,30.11e27,32.5e3,53.3e6,309.99e-3,3.17317,2000-01-01T12:00:00,21.4e3,61.e6,53.8e6,53.8e6,10.5359e3,86.8103e24,53.939e15,558.279e9,Uranus,GrayLevel[0.85],0
59.3e6,59.2e6,9.89e3,900.e-6,,42.e3,93.e15,Bianca,54.40e27,37.6e3,59.1e6,144.7e-3,1.7717,2000-01-01T12:00:00,25.7e3,61.e6,59.2e6,59.2e6,14.4095e3,86.8103e24,92.895e15,585.655e9,Uranus,GrayLevel[0.85],0
61.8e6,61.8e6,9.68e3,400.e-6,,67.7e3,343.e15,Cressida,205.3e27,40.1e3,61.8e6,772.06e-3,2.5070,2000-01-01T12:00:00,39.8e3,61.e6,61.8e6,61.8e6,25.3684e3,86.8103e24,343.112e15,598.378e9,Uranus,GrayLevel[0.85],0
62.7e6,62.7e6,9.61e3,0.e-4,,55.3e3,178.e15,Desdemona,107.5e27,41.0e3,62.7e6,3.19893,8.54119,2000-01-01T12:00:00,32.0e3,61.e6,62.7e6,62.7e6,19.8087e3,86.8103e24,178.299e15,602.719e9,Uranus,GrayLevel[0.85],0
64.4e6,64.4e6,9.49e3,700.e-6,,83.e3,557.e15,Juliet,340.5e27,42.6e3,64.4e6,3.90638,7.39974,2000-01-01T12:00:00,46.8e3,61.e6,64.4e6,64.4e6,32.0976e3,86.8103e24,557.37e15,610.835e9,Uranus,GrayLevel[0.85],0
66.1e6,66.1e6,9.36e3,0.e-4,,123.e3,1.681e18,Portia,1.040e30,44.3e3,66.1e6,3.88219,8.42121,2000-01-01T12:00:00,67.6e3,61.e6,66.1e6,66.1e6,51.2352e3,86.8103e24,1.6811e18,618.845e9,Uranus,GrayLevel[0.85],0
69.9e6,69.9e6,9.10e3,0.e-4,,69.4e3,255.e15,Rosalind,162.1e27,48.2e3,69.9e6,2.45179,2.67601,2000-01-01T12:00:00,36.e3,61.e6,69.9e6,69.9e6,25.4698e3,86.8103e24,254.712e15,636.385e9,Uranus,GrayLevel[0.85],0
75.3e6,75.3e6,8.77e3,0.e-4,,84.e3,357.e15,Belinda,235.5e27,53.9e3,75.3e6,740.12e-3,5.6155,2000-01-01T12:00:00,40.3e3,61.e6,75.3e6,75.3e6,31.3903e3,86.8103e24,356.597e15,660.509e9,Uranus,GrayLevel[0.85],0
86.e6,86.e6,8.21e3,0.e-4,,190.e3,2.893e18,Puck,2.042e30,65.8e3,86.e6,3.09087,7.78117,2000-01-01T12:00:00,81.e3,61.e6,86.e6,86.e6,82.8287e3,86.8103e24,2.89323e18,705.88e9,Uranus,GrayLevel[0.85],0
130.1e6,129.9e6,6.68e3,1.3e-3,,820.e3,66.e18,Miranda,57.19e30,122.1e3,129.7e6,1.1923,6.8897,2000-01-01T12:00:00,235.8e3,63.0e6,129.9e6,129.9e6,436.878e3,86.8103e24,65.9255e18,867.533e9,Uranus,GrayLevel[0.85],0
191.1e6,190.9e6,5.51e3,1.2e-3,,3.30e6,1.35e21,Ariel,1.423e33,217.7e3,190.7e6,2.01322,2.40407,2000-01-01T12:00:00,578.9e3,56.5e6,190.9e6,190.9e6,2.15006e6,86.8103e24,1.35295e21,1.0517e12,Uranus,GrayLevel[0.85],0
267.e6,266.e6,4.67e3,3.9e-3,,4.37e6,1.17e21,Umbriel,1.455e33,358.0e3,265.e6,1.4785,2.0629,2000-01-01T12:00:00,584.7e3,60.e6,266.e6,266.e6,2.82835e6,86.8103e24,1.17166e21,1.24144e12,Uranus,GrayLevel[0.85],0
436.8e6,436.3e6,3.64e3,1.1e-3,,10.39e6,3.526e21,Titania,5.605e33,752.2e3,435.8e6,4.964,6.705,2000-01-01T12:00:00,788.9e3,56.0e6,436.3e6,436.3e6,7.20781e6,86.8103e24,3.52537e21,1.58998e12,Uranus,GrayLevel[0.85],0
584.3e6,583.5e6,3.15e3,1.4e-3,,13.18e6,3.013e21,Oberon,5.540e33,1.163e6,582.7e6,1.822,6.705,2000-01-01T12:00:00,761.4e3,56.9e6,583.5e6,583.5e6,9.05264e6,86.8103e24,3.01299e21,1.83872e12,Uranus,GrayLevel[0.85],0
8.379e9,7.322e9,889.,158.7e-3,,8.6e6,730.e15,Caliban,4.692e30,50.089e6,6.083e9,5.98329,8.84292,2000-01-01T12:00:00,49.e3,59.e6,7.231e9,7.139e9,4.02389e6,86.8103e24,734.17e15,6.3906e12,Uranus,GrayLevel[0.85],0
9.84e9,8.214e9,840.,229.2e-3,,1.8e6,6.e15,Stephano,39.73e27,58.524e6,6.169e9,332.03e-3,3.62304,2000-01-01T12:00:00,10.e3,59.e6,8.004e9,7.791e9,650.88e3,86.8103e24,5.99323e15,6.62853e12,Uranus,GrayLevel[0.85],0
18.541e9,13.841e9,640.,522.4e-3,,15.96e6,5.38e18,Sycorax,38.53e30,111.309e6,5.817e9,371.60e-3,4.94288,2000-01-01T12:00:00,95.e3,59.e6,12.179e9,10.385e9,15.0321e6,86.8103e24,5.37892e18,7.16281e12,Uranus,GrayLevel[0.85],0
23.487e9,17.864e9,566.,444.8e-3,,3.9e6,21.e15,Prospero,182.3e27,170.924e6,9.025e9,3.06400,8.62460,2000-01-01T12:00:00,15.e3,59.e6,16.256e9,14.559e9,2.1819e6,86.8103e24,20.9763e15,8.69194e12,Uranus,GrayLevel[0.85],0
27.72e9,20.464e9,522.,591.4e-3,,3.1e6,21.e15,Setebos,169.9e27,192.258e6,7.12e9,26.86e-3,4.38069,2000-01-01T12:00:00,15.e3,59.e6,17.418e9,14.045e9,2.33786e6,86.8103e24,20.9763e15,8.10064e12,Uranus,GrayLevel[0.85],0
48.25e6,48.227e6,11.9e3,400.e-6,,41.e3,190.e15,Naiad,111.8e27,25.4e3,48.21e6,553.85e-3,1.5389,2000-01-01T12:00:00,33.e3,65.e6,48.227e6,48.227e6,14.775e3,102.410e24,194.78e15,574.132e9,Neptune,GrayLevel[0.85],0
50.09e6,50.075e6,11.7e3,200.e-6,,53.e3,370.e15,Thalassa,219.1e27,26.9e3,50.06e6,5.63960,7.3517,2000-01-01T12:00:00,41.e3,65.e6,50.075e6,50.075e6,19.9277e3,102.410e24,374.577e15,585.029e9,Neptune,GrayLevel[0.85],0
52.54e6,52.526e6,11.4e3,200.e-6,,10.e4,2.1e18,Despina,1.257e30,28.9e3,52.52e6,5.12019,7.90392,2000-01-01T12:00:00,75.e3,65.e6,52.526e6,52.526e6,41.6377e3,102.410e24,2.09763e18,599.176e9,Neptune,GrayLevel[0.85],0
61.953e6,61.953e6,10.5e3,10.0e-5,,143.e3,3.7e18,Galatea,2.437e30,37.1e3,61.953e6,479.41e-3,2.67341,2000-01-01T12:00:00,88.e3,65.e6,61.953e6,61.953e6,61.9298e3,102.410e24,3.74577e18,650.726e9,Neptune,GrayLevel[0.85],0
73.65e6,73.548e6,9.64e3,1.4e-3,,185.e3,4.9e18,Larissa,3.506e30,48.0e3,73.45e6,2.40983,2.71680,2000-01-01T12:00:00,97.e3,65.e6,73.548e6,73.548e6,82.1557e3,102.410e24,4.94441e18,709.009e9,Neptune,GrayLevel[0.85],0
117.71e6,117.647e6,7.62e3,500.e-6,,643.e3,50.3e18,Proteus,45.14e30,96.94e3,117.59e6,5.26576,8.10524,2000-01-01T12:00:00,210.e3,65.e6,117.647e6,117.647e6,332.489e3,102.410e24,50.3431e18,896.721e9,Neptune,GrayLevel[0.85],0
354.8e6,354.8e6,4.39e3,16.00e-6,,14.60e6,21.394e21,Triton,33.32e33,507.8e3,354.8e6,6.00474,9.01422,2000-01-01T12:00:00,1.3534e6,55.6e6,354.8e6,354.8e6,11.2856e6,102.410e24,21.3899e21,1.55758e12,Neptune,GrayLevel[0.85],0
9.655e9,7.069e9,934.,751.2e-3,,6.38e6,30.9e18,Nereid,125.1e30,31.116e6,1.372e9,4.90141,10.7441,2000-01-01T12:00:00,170.e3,62.e6,5.5134e9,3.639e9,12.8123e6,102.410e24,30.8651e18,4.052e12,Neptune,GrayLevel[0.85],0
19.642e6,19.599e6,211.,2.2e-3,,6.75e6,1.62e21,Charon,6.696e30,551.8e3,19.556e6,2.88072,6.77366,2000-01-01T12:00:00,606.e3,3.01e6,19.599e6,19.599e6,8.00987e6,13.09e21,1.44014e21,4.64944e9,Pluto,GrayLevel[0.85],0
48.79e6,48.675e6,134.,2.3e-3,,510.e3,47.e15,Nix,303.8e24,2.14758e6,48.56e6,-120.e-3,3.77,2000-01-01T12:00:00,19.5e3,3.2e6,48.675e6,48.675e6,303.67e3,13.09e21,46.5889e15,6.52107e9,Pluto,GrayLevel[0.85],0
65.12e6,64.781e6,116.,5.2e-3,,830.e3,80.e15,Hydra,633.2e24,3.30104e6,64.44e6,-400.e-3,3.49,2000-01-01T12:00:00,23.8e3,3.2e6,64.780e6,64.779e6,512.025e3,13.09e21,84.1721e15,7.52286e9,Pluto,GrayLevel[0.85],0